candidate,date_survey_start,date_survey_end,question,share_of_respondents
Ganjar Pranowo,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",26.7
Prabowo Subianto,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",23.9
Anies Baswedan,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",19.4
Ridwan Kamil,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",3.5
Agus Yudhoyono,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",3.2
Sandiaga Uno,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",2.4
Erick Thohir,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",2.4
Khofifah Parawansa,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",1.9
Tri Rismaharini,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",1.3
Puan Maharani,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",1.1
Mahfud MD,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.7
Airlangga Hartarto,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.5
Muhaimin Iskandar,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.5
Sri Mulyani,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.4
Gatot Nurmantyo,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.4
Bambang Soesatyo,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.3
Ahmad Syaikhu,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0
Suharso Monoarfa,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0
Zulkifli Hasan,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0